0 2 0 ---> 0 1 1	          3.18198051533946385980          85.91347391416552421500       86842.41335086243894500000			          3.18198051533946385980          85.91347391416552421500       86842.41335086243894500000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 2 0 ---> 1 0 1	          0.00000000000000000000           0.00000000000000000000       -6524.05442535694449510000			          0.00000000000000000000           0.00000000000000000000       -6524.05442535694449510000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 2 0 ---> 0 0 2	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 1 0 ---> 0 0 0	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000          19.93359375000000000000           0.00000000000000000000			
1 1 0 ---> 0 0 -1	         -0.92897280000000000000           0.00000000000000000000       19499.06608128000000000000			          0.92897280000000000000           0.00000000000000000000      -19499.06608128000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 1 0 ---> 0 1 0	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          1.19439360000000000000         -41.08713984000000000000      -23777.06810572800000000000			
1 1 0 ---> 1 0 0	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			         -1.19439360000000000000         -41.08713984000000000000       23777.06810572800000000000			
1 1 0 ---> 0 0 1	         -0.92897280000000000000           0.00000000000000000000       19499.06608128000000000000			         -0.92897280000000000000           0.00000000000000000000       19499.06608128000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 1 0 ---> 0 0 -2	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 1 0 ---> 0 1 -1	          3.18198051533946385980         -42.95673695708276210700       94381.32068683046369500000			         -3.18198051533946385980          42.95673695708276210700      -94381.32068683046369500000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 1 0 ---> 1 0 -1	          3.18198051533946385980          42.95673695708276210700       94381.32068683046369500000			         -3.18198051533946385980         -42.95673695708276210700      -94381.32068683046369500000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 1 0 ---> 0 2 0	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000        -243.00000000000000000000        4100.62500000000000000000			
1 1 0 ---> 1 1 0	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000        1741.50000000000000000000           0.00000000000000000000			
1 1 0 ---> 2 0 0	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000        -243.00000000000000000000       -4100.62500000000000000000			
1 1 0 ---> 0 1 1	          3.18198051533946385980         -42.95673695708276210700       94381.32068683046369500000			          3.18198051533946385980         -42.95673695708276210700       94381.32068683046369500000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 1 0 ---> 1 0 1	          3.18198051533946385980          42.95673695708276210700       94381.32068683046369500000			          3.18198051533946385980          42.95673695708276210700       94381.32068683046369500000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 1 0 ---> 0 0 2	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
2 0 0 ---> 0 0 0	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.21093750000000000000          10.12500000000000000000       -6786.76904296875000000000			
2 0 0 ---> 0 0 -1	          0.13271040000000000000          23.52955392000000000000       -1726.89341644800000000000			         -0.13271040000000000000         -23.52955392000000000000        1726.89341644800000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
2 0 0 ---> 0 1 0	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			         -0.04423680000000000000         -18.61926912000000000000       -1848.00315801600000000000			
2 0 0 ---> 1 0 0	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          1.81370880000000000000          31.57180416000000000000      -31660.71105945600000000000			
2 0 0 ---> 0 0 1	          0.13271040000000000000          23.52955392000000000000       -1726.89341644800000000000			          0.13271040000000000000          23.52955392000000000000       -1726.89341644800000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
2 0 0 ---> 0 0 -2	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
2 0 0 ---> 0 1 -1	          0.00000000000000000000           0.00000000000000000000       -6524.05442535694449510000			          0.00000000000000000000           0.00000000000000000000        6524.05442535694449510000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
2 0 0 ---> 1 0 -1	          3.18198051533946385980         -85.91347391416552421500       86842.41335086243894500000			         -3.18198051533946385980          85.91347391416552421500      -86842.41335086243894500000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
2 0 0 ---> 0 2 0	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
2 0 0 ---> 1 1 0	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000        -243.00000000000000000000       -4100.62500000000000000000			
2 0 0 ---> 2 0 0	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			         -9.00000000000000000000        1620.00000000000000000000     -297705.37500000000000000000			
2 0 0 ---> 0 1 1	          0.00000000000000000000           0.00000000000000000000       -6524.05442535694449510000			          0.00000000000000000000           0.00000000000000000000       -6524.05442535694449510000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
2 0 0 ---> 1 0 1	          3.18198051533946385980         -85.91347391416552421500       86842.41335086243894500000			          3.18198051533946385980         -85.91347391416552421500       86842.41335086243894500000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
2 0 0 ---> 0 0 2	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 1 1 ---> 0 0 0	         -0.14915533665653736843          -3.46786157726449381600        5046.20237479475492310000			          0.14915533665653736843           3.46786157726449381600       -5046.20237479475492310000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 1 1 ---> 0 0 -1	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 1 1 ---> 0 1 0	         -1.37632621535169488320          53.90193941577365051700       27092.42726509502213900000			          1.37632621535169488320         -53.90193941577365051700      -27092.42726509502213900000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 1 1 ---> 1 0 0	          0.12512056503197226211         -20.26953153517950646200       -1535.82365562620152430000			         -0.12512056503197226211          20.26953153517950646200        1535.82365562620152430000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 1 1 ---> 0 0 1	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			         -1.50144678038366714530          -5.40520840938120172310       26229.41942863784633800000			
0 1 1 ---> 0 0 -2	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 1 1 ---> 0 1 -1	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 1 1 ---> 1 0 -1	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 1 1 ---> 0 2 0	          3.18198051533946385980          85.91347391416552421500       86842.41335086243894500000			         -3.18198051533946385980         -85.91347391416552421500      -86842.41335086243894500000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 1 1 ---> 1 1 0	          3.18198051533946385980         -42.95673695708276210700       94381.32068683046369500000			         -3.18198051533946385980          42.95673695708276210700      -94381.32068683046369500000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 1 1 ---> 2 0 0	          0.00000000000000000000           0.00000000000000000000       -6524.05442535694449510000			          0.00000000000000000000           0.00000000000000000000        6524.05442535694449510000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 1 1 ---> 0 1 1	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          4.50000000000000000000        1620.00000000000000000000      157464.00000000000000000000			
0 1 1 ---> 1 0 1	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000        -243.00000000000000000000           0.00000000000000000000			
0 1 1 ---> 0 0 2	          3.18198051533946385980         171.82694782833104843000       96266.04752082246988300000			          3.18198051533946385980         171.82694782833104843000       96266.04752082246988300000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 0 1 ---> 0 0 0	         -0.14915533665653736843           3.46786157726449381600        5046.20237479475492310000			          0.14915533665653736843          -3.46786157726449381600       -5046.20237479475492310000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 0 1 ---> 0 0 -1	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 0 1 ---> 0 1 0	          0.12512056503197226211          20.26953153517950646200       -1535.82365562620152430000			         -0.12512056503197226211         -20.26953153517950646200        1535.82365562620152430000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 0 1 ---> 1 0 0	         -1.37632621535169488320         -53.90193941577365051700       27092.42726509502213900000			          1.37632621535169488320          53.90193941577365051700      -27092.42726509502213900000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 0 1 ---> 0 0 1	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          1.50144678038366714530          -5.40520840938120172310      -26229.41942863784633800000			
1 0 1 ---> 0 0 -2	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 0 1 ---> 0 1 -1	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 0 1 ---> 1 0 -1	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 0 1 ---> 0 2 0	          0.00000000000000000000           0.00000000000000000000       -6524.05442535694449510000			          0.00000000000000000000           0.00000000000000000000        6524.05442535694449510000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 0 1 ---> 1 1 0	          3.18198051533946385980          42.95673695708276210700       94381.32068683046369500000			         -3.18198051533946385980         -42.95673695708276210700      -94381.32068683046369500000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 0 1 ---> 2 0 0	          3.18198051533946385980         -85.91347391416552421500       86842.41335086243894500000			         -3.18198051533946385980          85.91347391416552421500      -86842.41335086243894500000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 0 1 ---> 0 1 1	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000        -243.00000000000000000000           0.00000000000000000000			
1 0 1 ---> 1 0 1	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			         -4.50000000000000000000        1620.00000000000000000000     -157464.00000000000000000000			
1 0 1 ---> 0 0 2	          3.18198051533946385980        -171.82694782833104843000       96266.04752082246988300000			          3.18198051533946385980        -171.82694782833104843000       96266.04752082246988300000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 0 2 ---> 0 0 0	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 0 2 ---> 0 0 -1	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 0 2 ---> 0 1 0	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 0 2 ---> 1 0 0	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 0 2 ---> 0 0 1	         -2.12336640000000000000           0.00000000000000000000       35342.15970816000000000000			          2.12336640000000000000           0.00000000000000000000      -35342.15970816000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 0 2 ---> 0 0 -2	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 0 2 ---> 0 1 -1	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 0 2 ---> 1 0 -1	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 0 2 ---> 0 2 0	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 0 2 ---> 1 1 0	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 0 2 ---> 2 0 0	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 0 2 ---> 0 1 1	          3.18198051533946385980         171.82694782833104843000       96266.04752082246988300000			         -3.18198051533946385980        -171.82694782833104843000      -96266.04752082246988300000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 0 2 ---> 1 0 1	          3.18198051533946385980        -171.82694782833104843000       96266.04752082246988300000			         -3.18198051533946385980         171.82694782833104843000      -96266.04752082246988300000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
0 0 2 ---> 0 0 2	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000        1377.00000000000000000000           0.00000000000000000000			
